日,HI,,
笑,WARAU,kun - wara(u)/e(mu) (laugh),on - shou
顔,KAO,kun - kao (face),on - gan
止,TOMARU,kun - to(maru) (stop),on - shi
踊,ODORU,kun - odo(ru) (dance/jump/leap/skip),on - you
動,UGOKU,kun - ugo(ku) (move) ugo(kasu),on - dou (move/change/confusion)
出,"DERU	",kun - de(ru)/-de/da(su)/-da(su)/i(deru)/i(dasu) (exit/leave),on - shutsu/sui
君,KIMI,kun - kimi/-gimi (you),"on - ""kun"" (boy/master *when alone*) (ruler/monarch *generally when with other kanji*)"
元,MOTO,kun - moto (beginning/origin),on - gen/gan
走,HASHIRU,kun - hashi(ru) (to run),on - sou (run)
同,ONAJI,kun - ona(ji) (same/agree/equal),on - dou (same)
電,DEN,*this kanji has no kun reading*,on - den (electricity) 
車,KURUMA,kun - kuruma (car),on - sha (car)
見,MIRU,kun - mi(ru)/mi(eru)/mi(seru) (look/see/watch)  ,on - ken (opinion/outlook)
僕,BOKU,kun - shimobe (servent),on - boku (I/me)
中,NAKA,kun - naka (inside/among/middle/during),on - chuu (medium/average/middle)
大,OOKI,kun - oo(ki) (big/large),on - dai (big/large)
想,OMOU,kun - omo(u) (think/thought/idea),on - sou/so (think/thought/idea)
話,HANASHI,,
来,KURU,,
友,TOMO,,
達,TACHI,,
一,ICHI,,
緒,SHO,,
喋,SHABERU,,
横,YOKO,,
目,ME,,
気,IKI,,
付,TSUKERU,,
感,KAN,,
情,NASAKE,,
後,NOCHI,,
悔,KUIRU,,
逃,NIGERU,,
溢,KOBORERU,,
残,NOKORU,,
言,IU,,
葉,HA,,
全,ZEN,,
部,BU,,
詰,TSUMERU,,
込,KOMU,,
今,IMA,,
勇,ISAMU,,
足,ASHI,,
少,SUKUNAI,,
体,KARADA,,
踏,FUMU,,
前,MAE,,
訳,WAKE,,
考,KANGAERU,,
結,MUSUBU,,
局,TSUBONE,,
何,NANI,,
時,TOKI,,
間,AIDA,,
過,SUGIRU,,
忘,WASURERU,,
慣,NARERU,,
広,HIROI,,
世,YO,,
界,KAI,,
空,SORA,,
待,MATSU,,
始,HAJIMERU,,
力,CHIKARA,,
向,MUKU,,
合,AU,,
星,HOSHI,,
生,IKIRU,,
代,KAWARU,,
偶,TAMA,,
然,SHIKA,,
簡,ERABU,,
単,HITOE,,
違,CHIGAU,,
離,HANARERU,,
胸,MUNE,,
奥,OKU,,
痛,ITAI,,
純,JUN,,
粋,IKI,,
繋,TSUNAGU,,
年,TOSHI,,
十,JUU,,
先,SAKI,,
未,MADA,,
度,TABI,,
人,HITO,,
素,MOTO,,
直,ATAI,,
答,KOTAE,,
好,SU,,
変,KAWARU,,
